galaxy_ID,r90
10224-1901,5.056756496429443
10224-1902,7.446767330169678
10224-3701,17.115921020507812
10224-3702,18.765031814575195
10224-3703,9.8496675491333
10224-3704,12.602498054504395
10224-6101,15.231294631958008
10224-6102,19.250465393066406
10224-6103,12.255781173706055
10224-6104,13.04327392578125
10224-9101,14.029115676879883
10224-9102,9.813444137573242
10225-12701,18.526473999023438
10225-12702,16.820043563842773
10225-12703,29.726036071777344
10225-12704,22.85931968688965
10225-12705,39.71458053588867
10225-1902,5.429689884185791
10225-3701,6.7680792808532715
10225-3703,10.797719955444336
10225-3704,8.187049865722656
10225-6101,7.740078926086426
10225-6102,17.9355411529541
10225-6104,12.732177734375
10225-9101,9.220832824707031
10225-9102,20.46552085876465
10226-12701,7.252110958099365
10226-12702,9.727251052856445
10226-12703,9.174200057983398
10226-12704,6.949594974517822
10226-12705,27.65411949157715
10226-1901,8.84770393371582
10226-1902,6.363389492034912
10226-3701,11.758920669555664
10226-3702,11.560166358947754
10226-3703,13.423309326171875
10226-3704,13.515166282653809
10226-6101,10.621346473693848
10226-6102,7.633764266967773
10226-6103,13.028043746948242
10226-6104,20.358123779296875
10226-9101,20.259437561035156
10226-9102,21.167903900146484
10480-12701,0.0
10480-12702,0.0
10480-12703,0.0
10480-12704,0.0
10480-12705,0.0
10480-1901,0.0
10480-1902,0.0
10480-3701,0.0
10480-3702,0.0
10480-3703,0.0
10480-3704,0.0
10480-6101,0.0
10480-6102,0.0
10480-6103,0.0
10480-6104,0.0
10480-9101,0.0
10480-9102,0.0
10481-12701,0.0
10481-12702,0.0
10481-12703,0.0
10481-12704,0.0
10481-12705,0.0
10481-1901,0.0
10481-1902,0.0
10481-3701,0.0
10481-3702,0.0
10481-3703,0.0
10481-3704,0.0
10481-6101,0.0
10481-6102,0.0
10481-6103,0.0
10481-6104,0.0
10481-9101,0.0
10481-9102,0.0
10482-12701,0.0
10482-12702,0.0
10482-12703,0.0
10482-12704,0.0
10482-12705,0.0
10482-1902,0.0
10482-3701,0.0
10482-3703,0.0
10482-3704,0.0
10482-6101,0.0
10482-6102,0.0
10482-6104,0.0
10482-9101,0.0
10482-9102,0.0
10483-12701,0.0
10483-12702,0.0
10483-12703,0.0
10483-12704,0.0
10483-12705,0.0
10483-1902,0.0
10483-3701,0.0
10483-3703,0.0
10483-3704,0.0
10483-6101,0.0
10483-6102,0.0
10483-6104,0.0
10483-9101,0.0
10483-9102,0.0
10484-12701,0.0
10484-12702,0.0
10484-12703,0.0
10484-12704,0.0
10484-12705,0.0
10484-1902,0.0
10484-3701,0.0
10484-3703,0.0
10484-3704,0.0
10484-6101,0.0
10484-6102,0.0
10484-6104,0.0
10484-9101,0.0
10484-9102,0.0
10485-12701,0.0
10485-12702,0.0
10485-12703,0.0
10485-12704,0.0
10485-12705,0.0
10485-1901,0.0
10485-1902,0.0
10485-3701,0.0
10485-3702,0.0
10485-3703,0.0
10485-3704,0.0
10485-6101,0.0
10485-6102,0.0
10485-6103,0.0
10485-6104,0.0
10485-9101,0.0
10485-9102,0.0
10486-12701,0.0
10486-12702,0.0
10486-12703,0.0
10486-12704,0.0
10486-12705,0.0
10486-1902,0.0
10486-3701,0.0
10486-3703,0.0
10486-3704,0.0
10486-6101,0.0
10486-6102,0.0
10486-6104,0.0
10486-9101,0.0
10486-9102,0.0
10487-12701,0.0
10487-12702,0.0
10487-12703,0.0
10487-12704,0.0
10487-12705,0.0
10487-1902,0.0
10487-3701,0.0
10487-3703,0.0
10487-3704,0.0
10487-6101,0.0
10487-6102,0.0
10487-6104,0.0
10487-9101,0.0
10487-9102,0.0
10488-12701,0.0
10488-12702,0.0
10488-12703,0.0
10488-12704,0.0
10488-12705,0.0
10488-1902,0.0
10488-3701,0.0
10488-3703,0.0
10488-3704,0.0
10488-6101,0.0
10488-6102,0.0
10488-6104,0.0
10488-9101,0.0
10488-9102,0.0
10489-12701,0.0
10489-12702,0.0
10489-12703,0.0
10489-12704,0.0
10489-12705,0.0
10489-1901,0.0
10489-1902,0.0
10489-3701,0.0
10489-3702,0.0
10489-3703,0.0
10489-3704,0.0
10489-6101,0.0
10489-6102,0.0
10489-6103,0.0
10489-6104,0.0
10489-9101,0.0
10489-9102,0.0
10490-12702,0.0
10490-12703,0.0
10490-12704,0.0
10490-12705,0.0
10490-1901,0.0
10490-1902,0.0
10490-3701,0.0
10490-3702,0.0
10490-3703,0.0
10490-3704,0.0
10490-6101,0.0
10490-6102,0.0
10490-6103,0.0
10490-6104,0.0
10490-9101,0.0
10490-9102,0.0
10491-12701,0.0
10491-12702,0.0
10491-12703,0.0
10491-12704,0.0
10491-12705,0.0
10491-1901,0.0
10491-1902,0.0
10491-3701,0.0
10491-3702,0.0
10491-3703,0.0
10491-3704,0.0
10491-6101,0.0
10491-6102,0.0
10491-6103,0.0
10491-6104,0.0
10491-9101,0.0
10491-9102,0.0
10492-12701,54.96684646606445
10492-12702,13.525334358215332
10492-12703,38.232032775878906
10492-12704,21.30145835876465
10492-12705,23.296724319458008
10492-1901,8.946940422058105
10492-1902,9.605598449707031
10492-3701,11.059077262878418
10492-3702,10.679441452026367
10492-3703,9.627731323242188
10492-3704,9.261298179626465
10492-6101,7.673252105712891
10492-6102,20.043203353881836
10492-6103,15.588199615478516
10492-6104,19.293474197387695
10492-9101,17.862810134887695
10492-9102,22.76698112487793
10493-12701,13.712077140808105
10493-12702,22.371885299682617
10493-12703,28.282297134399414
10493-12704,15.9149169921875
10493-12705,22.716154098510742
10493-1901,10.652451515197754
10493-1902,5.980823516845703
10493-3701,11.811490058898926
10493-3702,16.120254516601562
10493-3703,13.466449737548828
10493-3704,7.519680023193359
10493-6101,12.272882461547852
10493-6102,11.0135498046875
10493-6103,20.840633392333984
10493-6104,9.692584037780762
10493-9101,22.192413330078125
10493-9102,15.945043563842773
10494-12701,14.84027099609375
10494-12702,45.09979248046875
10494-12703,37.02899169921875
10494-12704,34.4724006652832
10494-12705,31.859352111816406
10494-1901,4.473164081573486
10494-1902,12.163342475891113
10494-3701,11.401420593261719
10494-3702,7.999583721160889
10494-3703,11.327642440795898
10494-3704,8.556514739990234
10494-6101,16.81553840637207
10494-6102,18.458757400512695
10494-6103,11.328850746154785
10494-6104,19.68851661682129
10494-9101,15.441673278808594
10494-9102,15.27879810333252
10495-12701,13.920214653015137
10495-12702,26.097078323364258
10495-12703,17.001062393188477
10495-12704,12.701653480529785
10495-12705,10.131148338317871
10495-1901,16.854290008544922
10495-1902,6.618525505065918
10495-3701,7.972710609436035
10495-3702,17.304927825927734
10495-3703,9.58692455291748
10495-3704,16.28276252746582
10495-6101,22.06830406188965
10495-6102,9.680448532104492
10495-6103,10.614045143127441
10495-6104,10.006589889526367
10495-9101,17.877485275268555
10495-9102,13.781671524047852
10496-12701,11.177102088928223
10496-12702,23.690996170043945
10496-12703,25.380769729614258
10496-12704,11.561644554138184
10496-12705,11.679841995239258
10496-1901,16.577695846557617
10496-1902,16.04932975769043
10496-3701,16.02311897277832
10496-3702,14.481607437133789
10496-3703,8.154960632324219
10496-3704,8.96109390258789
10496-6101,19.01035499572754
10496-6102,11.298110008239746
10496-6103,10.3077974319458
10496-6104,47.946014404296875
10496-9101,24.368494033813477
10496-9102,9.394349098205566
10497-12701,22.24341583251953
10497-12702,28.633310317993164
10497-12703,10.853486061096191
10497-12704,34.92832565307617
10497-12705,11.50753402709961
10497-1901,4.218088626861572
10497-1902,6.972897529602051
10497-3701,6.369406223297119
10497-3702,27.873340606689453
