galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
8254-3704,0.9062038042344274,0.5890929986635688,2999.9988971930006,29.999940567776996,-6.99994982623283,0.10000000668122011,0.5781725579381718,5.1511896020690315,20.707799591001546,20.877105408903514,7.189326969123761,70.40359043161585
8254-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-6102,-0.04071055092587117,0.4970630165996917,1665.8091188604535,2.225951623940859,-1.1521169932214252,0.35375340305147324,0.49707682858081287,2.6593414979476497,26.333519600042084,25.331750356402097,16.222338675516134,5.3993956927475235
8254-6103,-1.0192167857279182,7.218825193113634,1200.3481887767596,6.597436323031904,-1.3881167179263487,188.10242618513848,0.4984514162338155,4.424287382681005,22.708518578882195,30.267488036042256,-52.297176207738765,49.88757624079015
8254-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8254-9101,0.06915652005461165,1.997255160344813,1273.9091222741288,15.83576427080969,-1.7946392030379765,1.506125517682614,0.7362197550228345,3.5944453489571226,32.31991923980049,32.59253935746189,20.265812515660148,63.34921136138988
8254-9102,0.5017245016876642,0.3340250715621711,1711.0046950187077,29.999999999590607,-0.7932539202356486,999.9987667400547,0.3184555210966108,1.296853951100953,30.106031638309602,30.568044165202238,-7.446380340900402,12.145579045344642
8255-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-12702,0.24399220047601147,1.8167337656778877e-09,559.0876152745916,2.762511633732566,-1.8637769286773815,2.237653384505164,0.46728829731301086,1.715280378091053,37.95529562492214,37.474862284200384,-0.3229686233438957,4.084400717253282
8255-12703,0.37514709213164715,1.3379258769952367,2780.5331972119634,15.444946900300407,0.01121862229054324,4.808496187555489,0.628921468842379,6.193554549226582,45.867599447448235,33.8344855095321,-99.9999335625205,263.9403141336006
8255-12704,-0.2791197030997423,1.0549205267928525,2000.9294004929618,6.341639922891043,-6.382132398865239,0.10000333860204172,0.6302686933924196,3.6328007070762167,35.15486676216913,34.40659206006385,11.901856575071033,55.88686930146332
8255-12705,0.6260164408570668,1.887541245344051,1743.8831527355585,12.190905394527144,0.7692803213249825,441.01865044512533,0.10000000486551075,1.0710808315216123,45.022076257133705,43.28970091810582,19.072641525113223,811.2581860853327
8255-1901,0.9999562927489842,9.99994952926507,2999.9999444653436,4.075238823265792,1.0247273321336676,7.683140244275364,0.10963261272145793,2.5119998151890717,11.204843603231799,19.828639548589322,-28.61735553907111,4903.836982029277
8255-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-3701,-0.7330313488850146,0.7105964429901653,307.3472825467397,9.340312864803856,-0.7038068516936062,0.333964916372817,0.49656247579158685,2.8902471562192993,29.373287778017204,22.75500466403996,-2.9547915690199766,20.681041318803718
8255-3702,-3.300943939512015,0.7952375250535417,498.43922896248995,11.478047536127109,-0.4080511915612478,0.19202559810132688,0.5012370058716147,2.4072514851343403,22.664799591165085,25.677899105574102,-2.090683760897155,2.8499399271233834
8255-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-3704,-0.10479813284345166,1.5410706088546442,2999.971066337452,9.592321419571517,-0.03033593785663695,0.3421566708997467,0.5363593030277013,3.78987543926209,22.293044787542666,21.898070541015592,8.266350569658627,29.41598167723947
8255-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-6102,0.9999561743284019,2.526052209811275,2999.9999444653436,20.357600932956903,-6.999949404847217,1.199943849343299,0.10009130090408844,3.1854966411383367,17.000040284354313,27.21090468150179,1.609399719585955,363.97442267175927
8255-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8255-9102,-1.2086934717986304,9.999999999999941,2919.1266047724926,29.99988059740077,-1.18985733063711,999.9946654225002,0.40191689180892165,0.4168875239619849,36.66670806827467,30.68741277005813,14.062571777966651,34.75251949800922
8256-12701,-0.9754263614343524,0.5064246181502766,673.5408375355212,29.999965688805055,-1.3671647034385064,0.4395615039672523,0.5027385891670956,3.229716924834902,42.197876720043006,47.99994351779705,7.61005179846032,4027.580083157867
