galaxy_ID,smoothness
10508-12703,0.784133826
10508-12704,1.245154787
10508-12705,1.494433594
10508-1901,0.797739926
10508-1902,1.791409535
10508-3701,1.711918233
10508-3703,2.894069305
10508-3704,2.71618258
10508-6101,1.09232617
10508-6102,2.50015802
10508-6103,1.035261808
10508-6104,0.777826728
10508-9101,2.692201528
10508-9102,2.285956419
10509-12701,0.943117142
10509-12702,0.857044357
10509-12703,0.345794385
10509-12704,2.801790991
10509-12705,1.692742411
10509-1901,0.885807729
10509-1902,0.676371327
10509-3701,0.976508281
10509-3702,2.884504988
10509-3703,0.882074616
10509-3704,0.756886985
10509-6101,0.743221858
10509-6102,1.083275119
10509-6103,0.997281581
10509-6104,0.709631348
10509-9101,0.559948705
10509-9102,3.05260347
10510-12701,2.538916408
10510-12702,2.596047794
10510-12703,1.162929428
10510-12704,0.363151058
10510-12705,2.284826414
10510-1901,1.969717622
10510-1902,nan
10510-3701,2.701992392
10510-3702,2.611289309
10510-3703,2.767797301
10510-3704,0.654660995
10510-6101,0.927744507
10510-6102,2.419851171
10510-6103,0.541353271
10510-6104,2.574670015
10510-9101,2.052403173
10510-9102,1.621397464
10511-12701,1.667465471
10511-12702,2.386805108
10511-12703,1.729887063
10511-12704,0.627618639
10511-12705,0.379349556
10511-1901,0.753750343
10511-1902,2.260046387
10511-3701,0.688648557
10511-3702,2.86135802
10511-3703,0.492927963
10511-3704,1.418362257
10511-6101,1.183129427
10511-6102,1.831539609
10511-6103,1.708223506
10511-6104,2.264680183
10511-9101,2.411419448
10511-9102,2.485226065
10512-12701,0.617895776
10512-12702,1.032113734
10512-12703,2.213498175
10512-12704,1.130181515
10512-12705,0.655350405
10512-1901,2.14099803
10512-1902,1.496392955
10512-3701,2.528505534
10512-3702,0.744089501
10512-3703,0.685594896
10512-3704,2.880887817
10512-6101,1.796077134
10512-6102,1.10205787
10512-6103,0.627636215
10512-6104,0.518284341
10512-9101,1.508424087
10512-9102,1.089740061
10513-12701,2.4628447
10513-12702,0.931263723
10513-12703,1.640949334
10513-12704,2.594340953
10513-12705,1.29544273
10513-1901,3.066883314
10513-1902,1.9494502
10513-3701,0.52257521
10513-3702,1.760093809
10513-3703,0.977794791
10513-3704,2.093691646
10513-6101,2.452337566
10513-6102,2.154774403
10513-6103,0.938142375
10513-6104,1.989594243
10513-9101,1.777442697
10513-9102,2.566341372
10514-12701,0.82562529
10514-12702,0.791107028
10514-12703,0.881667106
10514-12704,1.025861513
10514-12705,1.668347887
10514-1901,2.613803841
10514-1902,2.52542771
10514-3701,0.998638075
10514-3702,2.678437972
10514-3703,1.696669282
10514-3704,3.035773097
10514-6101,1.967784497
10514-6102,1.951492894
10514-6103,0.729750663
10514-6104,1.499709974
10514-9101,0.956996773
10514-9102,0.646323739
10515-12701,1.107004989
10515-12702,1.530423032
10515-12703,2.683597801
10515-12704,0.676931167
10515-12705,1.567262933
10515-1901,0.729444054
10515-1902,0.755358644
10515-3701,0.581363051
10515-3702,1.977665736
10515-3703,1.430161745
10515-3704,1.028942727
10515-6101,2.428932292
10515-6102,2.187698084
10515-6103,2.402459255
10515-6104,1.912135994
10515-9101,1.488129058
10515-9102,0.598139051
10516-12701,1.176518608
10516-12702,4.155716524
10516-12703,1.567761414
10516-12704,0.981269049
10516-12705,1.405554939
10516-1901,0.612641131
10516-1902,0.630115026
10516-3701,1.167441196
10516-3702,0.668056328
10516-3703,7.257871886
10516-3704,0.622391699
10516-6101,3.908958361
10516-6102,0.903228147
10516-6103,2.29192796
10516-6104,0.707320185
10516-9101,3.759510889
10516-9102,0.750111064
10517-12701,1.51743585
10517-12702,nan
10517-12703,0.858048125
10517-12704,2.296579423
10517-12705,2.626976801
10517-1901,0.868687635
10517-1902,0.85074372
10517-3701,0.709951839
10517-3702,0.727059615
10517-3703,3.054258102
10517-3704,0.416347191
10517-6101,1.889049294
10517-6102,0.755389653
10517-6103,2.817436528
10517-6104,1.201085995
10517-9101,1.02779458
10517-9102,1.61590876
10518-12701,2.437772353
10518-12702,0.871766796
10518-12703,1.246804136
10518-12704,2.256142805
10518-12705,0.304749702
10518-1901,1.777144638
10518-1902,0.55615703
10518-3701,1.795562988
10518-3702,2.417683919
10518-3703,0.99567944
10518-3704,1.347024201
10518-6101,2.619012456
10518-6102,0.67156774
10518-6103,0.697862458
10518-6104,1.938837491
10518-9101,1.246662672
10518-9102,0.654129431
10519-12701,0.679690429
10519-12702,1.470661809
10519-12703,2.488893629
10519-12704,0.358655232
10519-12705,0.609330586
10519-1901,1.658381661
10519-1902,2.674456873
10519-3701,2.845525221
10519-3702,2.314995316
10519-3703,2.460593844
10519-3704,2.687603514
10519-6101,nan
10519-6102,0.420975232
10519-6103,2.835053387
10519-6104,1.722446958
10519-9101,2.039174419
10519-9102,0.485639409
10520-12701,0.683699547
10520-12702,2.540120201
10520-12703,1.417709098
10520-12704,0.513679007
10520-12705,1.259678236
10520-1901,2.200551853
10520-1902,2.011426432
10520-3701,0.915352314
10520-3702,2.136665417
10520-3703,1.757746962
10520-3704,1.789292018
10520-6101,0.857969238
10520-6102,0.6456882
10520-6103,1.469086148
10520-6104,0.346813062
10520-9101,1.03290692
10520-9102,0.606911382
10837-12701,1.579214003
10837-12702,2.495776016
10837-12703,1.007421352
10837-12704,1.160901844
10837-12705,2.827203385
10837-1901,2.216198189
10837-1902,0.554737325
10837-3701,0.462458006
10837-3702,2.261356731
10837-3703,2.770857634
10837-3704,2.416374108
10837-6101,2.359376694
10837-6102,2.572793231
10837-6103,2.346424137
10837-6104,2.394898738
10837-9101,2.116282156
10837-9102,0.951751384
10838-12701,0.831857541
10838-12702,2.512286928
10838-12703,1.658972732
10838-12704,1.617515356
10838-12705,1.657362416
10838-1901,1.963506759
10838-1902,1.705701151
10838-3701,2.162813008
10838-3702,0.64654565
10838-3703,1.89167316
10838-3704,2.525038601
10838-6101,1.530740137
10838-6102,1.201333592
10838-6103,1.039301758
10838-6104,1.479728759
10838-9101,1.030471582
10838-9102,1.077172519
10839-12701,1.422002729
10839-12702,1.742461092
10839-12703,2.575501322
10839-12704,1.183286253
10839-12705,0.430225208
10839-1901,2.414254933
10839-1902,0.688403518
10839-3701,2.192147215
10839-3702,2.853898608
10839-3703,2.649271449
10839-3704,0.675430185
10839-6101,1.271884052
10839-6102,2.419034456
10839-6103,1.803742319
10839-6104,1.240406054
10839-9101,1.568935166
10839-9102,2.636360802
10840-12701,2.382098547
10840-12702,1.25980014
10840-12703,1.582415577
10840-12704,1.473642203
10840-12705,0.503714917
10840-1901,2.068049156
10840-1902,0.624503207
10840-3701,1.491070062
10840-3702,1.895504501
10840-3703,1.472306389
10840-3704,1.056573419
10840-6101,3.043169228
10840-6102,2.370147451
10840-6103,2.44127826
10840-6104,2.669651315
10840-9101,1.226862013
10840-9102,2.529454357
10841-12701,0.418203027
10841-12702,1.379055316
10841-12703,2.415663187
10841-12704,2.757154749
10841-12705,1.851822929
10841-1901,2.490439849
10841-1902,1.567265508
10841-3701,1.906784364
10841-3702,1.027535586
10841-3703,1.156857537
10841-3704,1.862353915
10841-6101,2.204808317
10841-6102,1.97477675
10841-6103,1.640690829
10841-6104,1.365710154
10841-9101,2.668139228
10841-9102,2.66330386
10842-12701,1.648304531
10842-12702,1.357338314
10842-12703,1.03136301
10842-12704,0.671523575
10842-12705,0.586832505
10842-1901,0.613922514
10842-1902,nan
10842-3701,2.635755254
10842-3702,0.604071109
10842-3703,0.436148564
10842-3704,1.724602095
10842-6101,2.636082891
10842-6102,0.781914641
10842-6103,0.63913478
10842-6104,2.575244016
10842-9101,0.421711836
10842-9102,1.029435804
10843-12701,2.649531846
10843-12702,1.672441848
10843-12703,2.03445917
10843-12704,1.501478886
10843-12705,2.852722853
