# galaxy_ID smoothness DL_ttype DL_PLTG DL_Visual_Class
10226-12703 2.657423826594338 -0.7872785925865173 0.03256775066256523 2.0
10226-12704 1.256214529045289 1.6417951583862305 0.29552771151065826 3.0
10226-12705 0.7844207016537194 3.4698984622955322 0.9569240808486938 3.0
10226-1901 0.7372909295754354 5.786555767059326 0.9991468191146851 3.0
10226-1902 0.751983113808207 4.097734451293945 0.8271376192569733 3.0
10226-3701 2.179034532174556 4.072510719299316 0.8714205920696259 3.0
10226-3702 0.778656953098642 3.1992881298065186 0.3286796361207962 3.0
10226-3703 0.49705937459922195 0.2712167501449585 0.42515525221824646 3.0
10226-3704 0.5906108055842345 2.1798436641693115 0.9182812571525574 3.0
10226-6101 1.143903661155362 3.3717925548553467 0.9999174475669861 3.0
10226-6102 0.729223515059787 2.304105758666992 0.5113035440444946 3.0
10226-6103 1.9707098310085838 2.399888515472412 0.5605353116989136 3.0
10226-6104 0.7566189989034001 -1.0908993482589722 0.38407643139362335 3.0
10226-9101 1.3034907853357764 2.903672933578491 0.9775111377239227 3.0
10226-9102 1.2432974331858853 -0.23946957290172577 0.19283132255077362 2.0
10480-12701 nan nan nan nan
10480-12702 nan nan nan nan
10480-12703 nan nan nan nan
10480-12704 nan nan nan nan
10480-12705 nan nan nan nan
10480-1901 nan nan nan nan
10480-1902 nan nan nan nan
10480-3701 nan nan nan nan
10480-3702 nan nan nan nan
10480-3703 nan nan nan nan
10480-3704 nan nan nan nan
10480-6101 nan nan nan nan
10480-6102 nan nan nan nan
10480-6103 nan nan nan nan
10480-6104 nan nan nan nan
10480-9101 nan nan nan nan
10480-9102 nan nan nan nan
10481-12701 nan nan nan nan
10481-12702 nan nan nan nan
10481-12703 nan nan nan nan
10481-12704 nan nan nan nan
10481-12705 nan nan nan nan
10481-1901 nan nan nan nan
10481-1902 nan nan nan nan
10481-3701 nan nan nan nan
10481-3702 nan nan nan nan
10481-3703 nan nan nan nan
10481-3704 nan nan nan nan
10481-6101 nan nan nan nan
10481-6102 nan nan nan nan
10481-6103 nan nan nan nan
10481-6104 nan nan nan nan
10481-9101 nan nan nan nan
10481-9102 nan nan nan nan
10482-12701 nan nan nan nan
10482-12702 nan nan nan nan
10482-12703 nan nan nan nan
10482-12704 nan nan nan nan
10482-12705 nan nan nan nan
10482-1902 nan nan nan nan
10482-3701 nan nan nan nan
10482-3703 nan nan nan nan
10482-3704 nan nan nan nan
10482-6101 nan nan nan nan
10482-6102 nan nan nan nan
10482-6104 nan nan nan nan
10482-9101 nan nan nan nan
10482-9102 nan nan nan nan
10483-12701 nan nan nan nan
10483-12702 nan nan nan nan
10483-12703 nan nan nan nan
10483-12704 nan nan nan nan
10483-12705 nan nan nan nan
10483-1902 nan nan nan nan
10483-3701 nan nan nan nan
10483-3703 nan nan nan nan
10483-3704 nan nan nan nan
10483-6101 nan nan nan nan
10483-6102 nan nan nan nan
10483-6104 nan nan nan nan
10483-9101 nan nan nan nan
10483-9102 nan nan nan nan
10484-12701 nan nan nan nan
10484-12702 nan nan nan nan
10484-12703 nan nan nan nan
10484-12704 nan nan nan nan
10484-12705 nan nan nan nan
10484-1902 nan nan nan nan
10484-3701 nan nan nan nan
10484-3703 nan nan nan nan
10484-3704 nan nan nan nan
10484-6101 nan nan nan nan
10484-6102 nan nan nan nan
10484-6104 nan nan nan nan
10484-9101 nan nan nan nan
10484-9102 nan nan nan nan
10485-12701 nan nan nan nan
10485-12702 nan nan nan nan
10485-12703 nan nan nan nan
10485-12704 nan nan nan nan
10485-12705 nan nan nan nan
10485-1901 nan nan nan nan
10485-1902 nan nan nan nan
10485-3701 nan nan nan nan
10485-3702 nan nan nan nan
10485-3703 nan nan nan nan
10485-3704 nan nan nan nan
10485-6101 nan nan nan nan
10485-6102 nan nan nan nan
10485-6103 nan nan nan nan
10485-6104 nan nan nan nan
10485-9101 nan nan nan nan
10485-9102 nan nan nan nan
10486-12701 nan nan nan nan
10486-12702 nan nan nan nan
10486-12703 nan nan nan nan
10486-12704 nan nan nan nan
10486-12705 nan nan nan nan
10486-1902 nan nan nan nan
10486-3701 nan nan nan nan
10486-3703 nan nan nan nan
10486-3704 nan nan nan nan
10486-6101 nan nan nan nan
10486-6102 nan nan nan nan
10486-6104 nan nan nan nan
10486-9101 nan nan nan nan
10486-9102 nan nan nan nan
10487-12701 nan nan nan nan
10487-12702 nan nan nan nan
10487-12703 nan nan nan nan
10487-12704 nan nan nan nan
10487-12705 nan nan nan nan
10487-1902 nan nan nan nan
10487-3701 nan nan nan nan
10487-3703 nan nan nan nan
10487-3704 nan nan nan nan
10487-6101 nan nan nan nan
10487-6102 nan nan nan nan
10487-6104 nan nan nan nan
10487-9101 nan nan nan nan
10487-9102 nan nan nan nan
10488-12701 nan nan nan nan
10488-12702 nan nan nan nan
10488-12703 nan nan nan nan
10488-12704 nan nan nan nan
10488-12705 nan nan nan nan
10488-1902 nan nan nan nan
10488-3701 nan nan nan nan
10488-3703 nan nan nan nan
10488-3704 nan nan nan nan
10488-6101 nan nan nan nan
10488-6102 nan nan nan nan
10488-6104 nan nan nan nan
10488-9101 nan nan nan nan
10488-9102 nan nan nan nan
10489-12701 nan nan nan nan
10489-12702 nan nan nan nan
10489-12703 nan nan nan nan
10489-12704 nan nan nan nan
10489-12705 nan nan nan nan
10489-1901 nan nan nan nan
10489-1902 nan nan nan nan
10489-3701 nan nan nan nan
