galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
9497-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,170144000000.0,nan,nan,nan
9497-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54246900000.0,nan,nan,nan
9497-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117172000000.0,nan,nan,nan
9497-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70204300000.0,nan,nan,nan
9497-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,541545000.0,nan,nan,nan
9497-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45579600000.0,nan,nan,nan
9498-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5166870000.0,nan,nan,nan
9498-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8281410000.0,nan,nan,nan
9498-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12619700000.0,nan,nan,nan
9498-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2320740000.0,nan,nan,nan
9498-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6503760000.0,nan,nan,nan
9498-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11179400000.0,nan,nan,nan
9498-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2217350000.0,nan,nan,nan
9498-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101826000000.0,nan,nan,nan
9498-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44426100000.0,nan,nan,nan
9498-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21441400000.0,nan,nan,nan
9498-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13890300000.0,nan,nan,nan
9498-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19449700000.0,nan,nan,nan
9498-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16925800000.0,nan,nan,nan
9498-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10865700000.0,nan,nan,nan
9498-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12295400000.0,nan,nan,nan
9498-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158724000000.0,nan,nan,nan
9498-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49709000000.0,nan,nan,nan
9499-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,775881000.0,nan,nan,nan
9499-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3185880000.0,nan,nan,nan
9499-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29878000000.0,nan,nan,nan
9499-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10785500000.0,nan,nan,nan
9499-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41500000000.0,nan,nan,nan
9499-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7454470000.0,nan,nan,nan
9499-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4026530000.0,nan,nan,nan
9499-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15416000000.0,nan,nan,nan
