galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2,,,
7977-3703,-1.129450056,1.140504891,974.281107,3.813524858,0.283516327,0.924106494,0.409979074,2.951897322,19.94501067,22.57968389,9.114363068,93.95485099,,,
7977-3704,0.159932086,1.563569803,295.8604677,12.13632751,-1.524818582,999.9999931,0.869098544,3.512382251,18.54451607,13.42776576,79.17763928,327.2440024,,,
7977-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7977-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7977-6103,0.158903387,0.24333922,427.4962668,8.77652644,-0.354306729,2.485812809,0.491796618,1.254945306,25.82689576,26.45487722,3.573928579,14.55852054,,,
7977-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7977-9101,-0.057553176,1.164098342,2908.383167,8.070478651,-0.545746815,249.4786131,0.334961038,0.436972895,31.135724,27.59301429,-90.40553825,19.59984439,,,
7977-9102,0.210504841,1.309282833,0.100225922,29.99996199,-0.93131151,999.979669,0.658912724,1.979561064,33.40374099,32.70309607,-42.5552998,353.5314293,,,
7977-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7977-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
