galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
9035-12703,0.352904518,0.726283219,2078.416137,4.837974906,-0.775359896,0.1,0.446838195,3.322356261,36.13963941,36.07294648,1.683158013,15.91429528
9035-12704,0.52540489,9.365691917,2999.999944,3.451645222,-3.450998429,4.953630336,0.105923698,5.321155475,39.10870254,36.16081597,15.01072029,26.98089567
9035-12705,0.602143014,1.082947752,0.14221842,29.99999995,-0.677168868,25.75114819,0.100050605,5.808091517,44.18438943,35.25289059,13.83215781,5.364133127
9035-1901,0.661344218,9.511285875,718.067365,28.69887919,-6.999948849,4.611793231,0.100215658,2.502868103,26.31526076,9.543201466,6.628800466,54.57395013
9035-1902,1,5.90790235,2999.982952,3.586825093,1.443682725,0.436664238,0.121790404,6.048422375,14.84398211,18.07263125,18.56046209,29.12685161
9035-3701,-1.192955421,1.26077863,1221.832835,1.277375621,-1.022527533,1.13015018,0.500140044,3.884439654,21.12379467,21.04593495,1.744181766,15.16962209
9035-3702,0.319461471,0.796750486,3000,0.527917579,1.803521669,0.675615656,0.101149385,5.675016411,21.56271599,20.53013731,-11.92300535,5.085112535
9035-3703,0.999956174,0.195898012,598.061553,14.9522543,-6.999989279,999.9139829,0.715511912,4.666139733,25.18150608,29.76947472,25.66372135,137.1452627
9035-3704,-0.017065074,0.41987706,824.8619475,3.69054805,-3.51435794,2.72618634,0.535199671,2.581337939,20.00832947,20.70581318,0.893054414,27.63515344
9035-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9035-6102,-0.093537887,3.547149443,0.101006643,9.164935614,1.7399076,0.100045169,0.705981444,2.81E-09,34.74213044,21.37906603,-76.54213705,1014.143443
9035-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9035-6104,0.074534081,0.96979551,0.110630415,6.935973831,-0.944550308,1.538411527,0.44975325,3.33390946,26.09090482,25.43857487,9.007938079,2.017943103
9035-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9035-9102,0.449618668,0.668965456,0.100589086,29.99996526,-6.999742424,0.100038901,0.622530831,3.968099197,36.58357322,38.84779487,-5.948181579,104.9760906
9036-12701,0.999956207,0.215426669,181.560098,29.99996037,-2.877738273,14.70541515,0.424690182,2.263880882,27.00004035,46.99995969,-23.31147218,212.0699118
9036-12702,-0.679634936,1.268780622,1803.861201,29.99996567,0.08665038,0.515938417,0.720763284,1.645037458,40.85327021,31.75672412,8.415116907,442.8589118
9036-12703,0.945029418,1.855926794,2137.259965,29.99994391,-1.478928403,55.62900758,0.100063337,4.660174013,37.20635763,37.5667949,-3.703223534,2.971373427
9036-12704,0.308773577,1.426759641,2999.170587,22.86182194,0.682750268,0.86302779,0.186659699,6.60256103,37.77542486,37.31117593,-28.76497617,4.064815306
9036-12705,0.579111979,8.82E-05,1038.497409,8.781070178,-0.789245986,1.935882952,0.468540964,1.168444216,35.95711081,36.87751656,-1.923667576,11.4933328
9036-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-3701,-0.227517119,2.598315524,1996.350759,16.39116525,-0.667177957,0.727475924,0.575492603,3.068721796,22.61236452,21.61004614,15.37686345,32.05375321
9036-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-6101,0.530190749,2.514244616,2999.999944,23.95916812,1.263601064,0.721387675,0.127586575,6.657310086,26.55958963,28.89194233,39.01187147,17.2011693
9036-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-6103,-1.644094676,9.999985587,1508.511347,29.99995082,-0.267209925,998.5733783,0.421835826,3.619476237,30.18450266,28.5722592,-5.074405116,1692.210959
9036-6104,-1.561534683,0.494341128,987.5713544,6.520556303,-1.965093477,0.274622746,0.535222288,2.675422463,29.94101284,26.73230589,1.05002195,10.99547228
9036-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9036-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-12701,0.925429267,2.716527382,2999.999944,1.509581014,-2.31414511,1.988275429,0.102718047,5.732238104,48.99998388,33.73594259,12.43118662,51.27935264
9037-12702,0.697501328,0.261780468,2892.501966,26.84302284,-3.184789206,999.9999689,0.100049416,0.217678453,41.27138011,30.00162085,-10.22945238,5.102446569
9037-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-3701,0.984049538,0.048165329,1.851268864,29.99999615,-3.189567745,0.311809342,0.720873666,0.667235006,28.85403139,20.07821223,0.776344426,7.258555699
9037-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-6101,0.963339695,1.514429528,0.178045149,29.99996396,-0.31074244,999.999999,0.100050605,5.303931634,30.34940095,26.06045459,10.66779827,6.95245168
9037-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
